"Código","Nombre","Categoría","Sector","Dependencia","Localidad","Departamento","Barrio","Domicilio","CP","Teléfono","Correo Electrónico","Web","Responsable","Origen georrefenciación","Latitud","Longitud","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Código de radio"
70066232313773,"SCHNEIDER",2,2,7,"PERGAMINO","PERGAMINO","","MITRE 284",2700,"02477-432748","luis.galizia@speedy.com.ar","","","Poblaciones","-33.8959322","-60.5699268","06","Buenos Aires","06623","Pergamino","066230309"
70066232314553,"MARTINEZ JUANA TERESA",2,2,7,"PERGAMINO","PERGAMINO","","ALEM 875",0,"","1@1.com","","","Poblaciones","-33.898174","-60.5716158","06","Buenos Aires","06623","Pergamino","066230310"
70066232316202,"MARTINEZ",2,2,7,"PERGAMINO","PERGAMINO","","ALEM 875",2700,"2477415930","diegosafar@gmail.com","","Sin Responsable","Poblaciones","-33.898174","-60.5716158","06","Buenos Aires","06623","Pergamino","066230310"
70066232313140,"DE GAETANI ANALIA SUSANA",2,2,7,"PERGAMINO","PERGAMINO","","MERCED  1102",2700,"02477-423080","analiadegaetani@hotmail.com","","","Poblaciones","-33.8988212","-60.5762233","06","Buenos Aires","06623","Pergamino","066230503"
70066232314353,"MASERA MARIA ALEJANDRA",2,2,7,"PERGAMINO","PERGAMINO","","BOLIVIA 628",1,"","farmacia_aia@hotmail.com","","","Poblaciones","-33.8997313","-60.5589116","06","Buenos Aires","06623","Pergamino","066230407"
70066232313369,"GLORIANI",2,2,7,"PERGAMINO","PERGAMINO","","ITALIA 1201",0,"","norigloriani@yahoo.com.ar","","GLORIANI NORA EDITH","Poblaciones","-33.8985844","-60.5787103","06","Buenos Aires","06623","Pergamino","066230504"
70066232312347,"SINDICATO DE LUZ Y FUERZA DE P",2,2,7,"PERGAMINO","PERGAMINO","","9 DE JULIO 1271",2700,"412828","farmacialuzyfuerza@yahoo.com.ar","","VECINO, Adriana Teresa","SISSA","-33.8998254","-60.577845000000025","06","Buenos Aires","06623","Pergamino","066230504"
70066232314444,"MC DONNELL",2,2,7,"PERGAMINO","PERGAMINO","","CASTELLI 496",2700,"2477429686","mariaisabelmcdonnell@hotmail.com","","","Poblaciones","-33.9007235","-60.5740643","06","Buenos Aires","06623","Pergamino","066230401"
70066232311959,"GARYULO EVANGELINA ADELA",2,2,7,"PERGAMINO","PERGAMINO","","CASTELLI 109",1,"0477-425933","farmaciagaryulo@speedy.com","","","Poblaciones","-33.9014427","-60.5703802","06","Buenos Aires","06623","Pergamino","066230402"
70066232313262,"GARYULO",2,2,7,"PERGAMINO","PERGAMINO","","CASTELLI 109",1,"","1@1.com","","","Poblaciones","-33.9014427","-60.5703802","06","Buenos Aires","06623","Pergamino","066230402"
70066232313640,"ALCOBENDAS",2,2,7,"PERGAMINO","PERGAMINO","","Avenida Intendente E. ILLIA 1798",2700,"2477411567","marcela_alcobendas@hotmail.com","","","Poblaciones","-33.9031991","-60.5860651","06","Buenos Aires","06623","Pergamino","066230510"
70066232313426,"TROTTA",2,2,7,"PERGAMINO","PERGAMINO","","AVDA.PTE. ARTURO ILLIA 1675",1,"","1@1.com","","","Poblaciones","-33.8996751","-60.5516211","06","Buenos Aires","06623","Pergamino","066232205"
70066232314037,"CHACON",2,2,7,"PERGAMINO","PERGAMINO","","SCALABRINI ORTIZ 711",2700,"02477-432032","farmaciachacon@bbt11.com.ar","","","Poblaciones","-33.9022191","-60.5487196","06","Buenos Aires","06623","Pergamino","066232205"
70066232311805,"GARDES ANDREA GABRIELA",2,2,7,"PERGAMINO","PERGAMINO","","CARPANI COSTA 694",2700,"02477-436867","gardesandrea@fibertel.com.ar","","","Poblaciones","-33.9035895","-60.5621697","06","Buenos Aires","06623","Pergamino","066230406"
70066232311485,"PISTONE MARIA CRISTINA RITA",2,2,7,"PERGAMINO","PERGAMINO","","PEDRO TORRES 1256",1,"02477-429805","cpistone@multinetmo.com.ar","","","Poblaciones","-33.9043285","-60.5544931","06","Buenos Aires","06623","Pergamino","066230408"
70066232311973,"VALDEZ LAURA LUJAN",2,2,7,"PERGAMINO","PERGAMINO","","Vergara Campos 998",2700,"2477418577","farmacia.valdez@gmail.com","","","Poblaciones","-33.9021319","-60.5587225","06","Buenos Aires","06623","Pergamino","066230408"
70066232312429,"FARMACIA CENTENARIO DE PERGAMI",2,2,7,"PERGAMINO","PERGAMINO","","J.B. JUSTO 1897",2700,"02477-425540","marisolsantoro@hotmail.com","","","Poblaciones","-33.9061175","-60.5803781","06","Buenos Aires","06623","Pergamino","066230508"
70066232313499,"FARMACIA DEL PUENTE DE PERGAMINO S. C. S.",2,2,7,"PERGAMINO","PERGAMINO","","JUAN B. JUSTO 1596",1,"","silvanabonardo@hotmail.com","","","Poblaciones","-33.9033374","-60.5786953","06","Buenos Aires","06623","Pergamino","066230508"
70066232310851,"BAGLIONI DOMICIANO",2,2,7,"PERGAMINO","PERGAMINO","","AVENIDA ILLIA 2198",2700,"02477-421928","farmaciabaglioni@wiscom.com.ar","","","Poblaciones","-33.9070047","-60.5877587","06","Buenos Aires","06623","Pergamino","066232807"
70066232313398,"ROASENDA",2,2,7,"PERGAMINO","PERGAMINO","","R. FOURNIER 1646",2700,"2477410537","dhroasenda@hotmail.com","","","Poblaciones","-33.9138958","-60.5957514","06","Buenos Aires","06623","Pergamino","066232808"
70066232311062,"CACHI DAVID",2,2,7,"PERGAMINO","PERGAMINO","","JUAN B. JUSTO 2383",2700,"02477-422102","gaichfarmacia@speedy.com.ar","","","Poblaciones","-33.9108198","-60.5824418","06","Buenos Aires","06623","Pergamino","066232805"
70066232311806,"OTEGUI ANA LAURA",2,2,7,"PERGAMINO","PERGAMINO","","LINIERS 997",1,"2477429963","farmaciaotegui@bbt11.com","","","Poblaciones","-33.9100975","-60.5847431","06","Buenos Aires","06623","Pergamino","066232805"
70066232313994,"VENTOLA",2,2,7,"PERGAMINO","PERGAMINO","","PELLEGRINI 2989",0,"","","","VENTOLA VALERIA JORGELINA","Poblaciones","-33.9164335","-60.5865981","06","Buenos Aires","06623","Pergamino","066232811"
70066232315060,"FERNANDEZ",2,2,7,"JUAN ANCHORENA","PERGAMINO","","SAN LUIS ESQ CORDOBA",0,"","","","FERNANDEZ NOELIA SOLEDAD","Poblaciones","-33.9241839","-60.3819729","06","Buenos Aires","06623","Pergamino","066232301"
